,Sentence,Sentiment
100,hargreave lansdown buck weak market see asset rise percent,1
103,value order eur mn,0
104,ms laakso responsible hkscan hr function development group smarket area,0
105,fiskar also engage global supply marine energy equipment solution service associate company wartsila corporation,0
106,aberdeen asset management gain foothold china,1
107,finland dominate rail company vr plan set infect passenger long distance trip separate carriage,0
108,november finnish government decrease ownership company far percent percent,0
110,bavelloni nst joint venture bavelloni tool complete semiproduct produce italy high quality tool sell diapol brand,0
111,tool patent pende design allow consumer lay entire project removable plate use multiple clear stamp kind,0
112,googl short upper bb overbought,-1
113,light curfew curl late bestseller treat eye perfect reading light luceplan,0
115,total value contract eur million,0
116,prerequisite inclusion program receipt gain key employee acquire aspo share amount determine board advance maximum,0
117,mr doring eaton since act business unit manager eaton power control business unit since january,0
118,sq sq ft store copenhagen premier shopping district inaugurate today far strengthen company presence nordic capital,1
119,financial statement first quarter tikkurila report discontinue operation,0
120,world second large stainless steel maker say net profit three month period dec surge euro million us million euro per share euro million euro per share previous year,1
121,name applicant jot automation oyname inventor mammila tuomo piirainen mika kellokoski mikaapplication kolnp adate filing application publication date,0
122,netflix grow effort create loyal customer nflx,1
124,aapl nibble small long via buy min chart,1
126,tyc break new high lot technical look great right,1
127,eero katajavuori currently group vice president human resource take year long sabbatical start october,0
128,lulu number look good great good I think conference call instill confidence,0
129,adjustment measure carry phase secure delivery capability,0
130,alma medium corporation press release march tyrvaan sanomat paikallissanomat buy suoman paikallissanomat two local paper tyrvaan sanomat paikallissanomat appear sastamala neighbouring municipality buy suomen paikallissanomat oy,0
132,meeting medium analyst hold day stonesoft headquarters helsinki italahdenkatu interim report present stonesoft ceo ilkka hiidenheimo,0
133,finnish sampo rosenlew manufacture approximately seven forest machine monthly half machine export,0
134,facebook near buy point last week face different technical test today fb aapl nflx,1
135,february finnish broadband data communication system provider teleste oyj hel tlt v say wednesday net profit rocket eur eur lift dividend proposal,1
136,free ha heeeeeere come pump glad I pick k end day get ready bull ride,1
137,finnish technology group aspocomp group oyj omx helsinki acg v issue third quarter report thursday november post operate profit eur compare loss eur third quarter,1
138,building complex consist high quality office retail space total square metre company say,0
140,unit plan operational second half full stream,0
141,itg share deal estimate euro,0
142,plant expect enter commercial operation mid,0
143,aspo also investigate sale opportunity kaukomarkkinat electronic business,0
144,bg group appoint new ceo one month early,0
145,acquisition immediate positive impact aspocomp financial result,1
147,lng look prime also eght poise run,1
148,also pct month volume weight average price stock,1
149,coke dividend google dividend passive income coke take goog ko,0
150,profit taxis eur mn eur mn year early,1
151,subsidiary set facility manufacture high density interconnection print circuit board pcb nokia special economic zone sriperumbudur near chennai,0
152,crm sep call since entry,1
154,rapala say estimate make saving mln eur year centralise french operation one site,1
155,vmw get nice push today follow small sweeper may c morning,1
156,top consensus forecast earning euro share,1
157,r loan,0
158,future company intend look know outside company cooperate actor sector,1
159,need ready window open rosberg say,0
160,tonne asphalt mix use contract,0
161,pa jpmorgan chase co nyse jpm pohjoa bank joint lead manager senior unsecured deal,0
162,ctrp break good vol parser buy signal notice bob lang comment look fast,1
165,nordea cheap also couple debt,0
166,jussi pesonen member sampo board since renounce seat sampo board,0
167,tesla recall model x car tsla,-1
168,adjust change group structure division net sale increase,1
170,amending proposal simplifie propose plan increase incentive key employee stay company,1
171,solution expand include ground staff task,0
173,look sharp move equity aapl hd low fb see uvxy tvix getting hammer even though market,1
174,net sale total eur mn eur mn corresponding period,1
175,consequence works council withdraw petition suspend reorganisation,0
176,ceo erkki j rvinen happy company performance,1
177,comparable net sale expect increase line group target,1
178,follow transaction lundbeck worldwide right nalmefene exclude north america mexico turkey south korea,1
179,government start sell last month put percent stake teliasonera auction bloc,0
180,report go provide detailed profile ten lead european specialty chemical company brief profile major player,0
181,operate profit net sale three month period increase respectively eur eur compare corresponding quarter,1
182,company expect net sale whole previous year level,0
183,company headquarter sievi finland list nordic exchange helsinki,0
184,commission income increase eur mn lending volume rise,1
185,finnish company sell uk operation consist staff office london birmingham manchester part deal hampden july european wide property casualty arm sampo industrial,0
187,innova building locate close downtown immediate vicinity paviljonki travel center within walk distance heart city thank trade fair bridge,0
189,main strength cooperation project lie merge know two large company,1
190,shareholder right put agenda agm item within competence general meeting,0
191,kazgiprotsvetmet outotec finland sign agreement strategic cooperation marketing providing mineral processing metallurgical plant related service kazakhstan surround country,1
193,government instead propose exchange state stake lmt teliasonera stake lattelecom,0
194,stora due release fourth quarter full year earning feb,0
196,nq got hit hard lower look like find support,-1
197,avc systemhaus net sale eur million usd,0
198,company establish g base station foot foot mount everest enable mountain climber foot summit surf internet even send video exploit,1
199,offer customer solution base renewable raw material,0
202,pretax profit group life insurance business increase eur eur,1
203,make available follow brand new market analysis cement pakistan cement malaysia cement taiwan cement philippine analysis give clear overview actual situation future outlook cement industry asian country,0
204,company serve approximately customer country,0
205,vmarket still act weak spy qqq xlf smh iwm,-1
207,one instal elevator double deck elevator enable efficient use building core space,1
208,helsinki afx outokumpu say agree sell hitura nickel mine finland canadian group belvedere resources ltd mln eur worth belvedere share,0
209,go long ilmn,1
210,social networking location base service trend comprise significant share internet traffic today appeal mid user,0
211,total order value book fourth quarter remainder book second quarter,0
212,johnson matthey share price slump company post full year result,-1
213,previous share subscription stock option,0
214,affectogenimap build highly customise solution customer finland baltic country,0
215,closing transaction schedule take place january,0
216,however offering probably make current valuation partly derive deal company merge stock market shell,0
219,net sale expect level,0
220,technical indicator stock bullish p give nok positive star buy rank,1
222,n viro operate process facility independently well partnership municipality,0
224,accord ringman finnish paper company acquire know capacity paper recycling turn successful strategy,1
225,company also say poland profitability program launch oborniki steel frame sandwich panel plant,1
227,tesco sale rise show tentative recovery continue,1
228,finland launch tie sale g mobile phone cause dramatic rush mobile retail outlet first day,0
229,nuan hold well big gain maybe finally move still undervalued major upside,1
230,company split two part come month essent owning operating production supply enexis owning operate grid,0
231,official disclose contract value,0
232,london lead share today jump almost point market open,1
236,combine company pro forma net sale mln euro mln operate profit mln euro mln,0
237,manage director kari inkinen say sponda leasing operation develop highly favourably,1
239,tsla steam stock relentless moment,1
240,marathon estimate value remain stake protalix million,0
241,whitbread share price climb q sale growth,1
242,incap contract manufacturing subsidiary incap corporation finland,0
243,operate profit total eur mn slightly eur mn corresponding period,1
244,go market yield guidance area give flexibility go th,0
245,think short close might play spy high beta reverse look worth shot,-1
246,vdw combine lxe device enhance productivity enable worker use single device perform voice scanning keyboard function,1
247,thus method cut work cost fasten planning building process,1
249,copyright afx news afx financial news logo register trademark afx news limit,0
250,lnkd daily phase retest price experience early rejection retest,-1
251,rbs reportedly appoint howard davy next chairman,0
252,tesco asda sale fall march discounter continue kantar,-1
253,new version important introduce bim process base detailed building information model,0
254,sampo plc jarmo salonen head investor relation group communication tel distribution nasdaq omx helsinki principal medium financial supervisory authority www sampo com announcement distribute thomson reuters behalf thomson reuter client,0
255,see share year today grow service business aapl,1
256,pharmaceutical market poland global research datum service publish recently market analysis pharmaceutical market poland,0
258,employer together health personnel support quit pay part cost nicotine treatment,0
260,order include ship crane deliver container feeder build wenchong shipyard china,0
262,goog testing day consolidation,1
263,join technopoli kone hold various position within group recently director service business business development kone middle eastern operation,0
264,succeed increase market share sell apartment comment mr kari kauniskangas head yit international construction service,1
265,profitability ebit compare previous year period,1
267,plant schedule completion late february hand area january two supplier nokia aspocomp group oyj perlos announce plan establish plant within nokia complex together invest rs crore,0
268,upm kymmene upgrade line underperform goldman sachs,1
269,slump weir lead ftse record high,-1
271,royal mail breach competition law delivery service change ofcom claim,-1
272,cooperation involve arena partner buy share new joint venture company operate alma medium home sale vehicle consumer advertising marketplace business,0
273,efore plant saarijarvi central finland one large employer region,0
274,however short term rental become popular,0
276,tesco close new chairman dixon carphone john allan frame,1
277,device offer multimedia performance along host productivity application include live stock price,0
278,sale climb pct bln eur surpass mln eur consensus figure,1
279,fb turn back early trading,-1
280,utah capital want next u headquarters amer sports corp ski equipment company,0
281,old mutual first quarter sale buoy emerge market,1
282,dividend payable february shareholder record january,0
284,furthermore bunge also sign licensing agreement sunnuntai carlshamn mejeri brand,1
285,kesko corporation stock exchange release kesko corporation aspo plc today sign agreement aspo acquire share capital kauko telko ltd subsidiary wholly kesko,1
286,lulu revenue range million million good,-1
287,mobile communication wireless broadband provider nokia inc nyse nok today set new financial target forecast nokia mobile device industry also nokia siemens network mobile fix infrastructure relate service market,0
288,poyry plc additional information heikki malinen president ceo poyry plc tel poyry global expert consulting engineering,0
290,amanda capital investment private equity fund unquoted company mainly europe,0
291,net interest income eur mn eur mn,1
292,jeder beta tester erh lt kostenlos sechs monate lang update und hat laut eigener aussage die glichkeit die finale version zu beeinflussen,0
294,aviva promise high dividend boost flagging share price,1
295,addition mid always online enable full internet browsing,0
296,fiskar strong portfolio international brand include fiskar iittala gerber silva buster,1
297,model x recall add reliability issue tsla,-1
298,name buyer disclose,0
299,net sale vegetable oil business rise eur mn eur mn,1
300,agreement benefon forthcoming range twig integrated gps navigation mobile phone device use jointly develop web base tracking location technology consumer commercial application,0
301,follow increase huhtamaki register share capital eur number share outstanding,0
302,three year turn around program expect ensure salomon future competitiveness company say,1
303,autumn plan expand service st petersburg moscow launch service yekaterinburg russia fly three time week,1
305,federal secretary transport communication mexico award poyry mexican partner sintra consulting contract connection buenavista cuautitlan suburban railway,1
306,fda approve astrazeneca drug advanced lung cancer,1
307,order include metso fourth quarter order backlog,0
308,lieksaare oy early regard control saarelainen oy individual shareholder shareholder agreement,0
309,ragutis control finnish brewery report per cent rise beer sale million litre hold per cent market share,1
310,mcp roll new intraday low bottom picker continue get destroy,-1
311,company annual turnover eur,0
312,branch finland annual revenue finland,0
313,portfolio comprise leasable space vacancy rate roughly let around tenant two large swedish government ericsson,0
314,wpp boost sale despite cautious client,1
315,medium term operative target company remain unchanged,0
317,consumer well receive pack fresh meat,1
318,correct chapter entirety,0
319,major part delivery include different ac cxe amplifier solution product dinh telecom company acquire teleste last spring,0
320,tietoenator use nokia intellisync mobile suite wireless email calendar device management capability company extend service customer,1
321,provide heating form hot water sawmill need,0
323,second quarter raute net loss narrow eur eur million period,1
324,dgi technical alerts gilligan island buy setup stochastic buy signal lizard bullish hammer candlestick wid,1
325,record date dividend distribution march,0
326,I h move enhance growth,1
327,ebrd use fund provide million loan b portion million euro syndicate two finnish commercial bank nordea bank finland plc million euro pohjola bank plc million euro,0
328,stockholm march cybercom cybercom group high tech consultancy offer global sourcing end end solution,0
330,milan afx italian shipping group grimaldi increase stake finnish company finnline pct pct hold june accord news agency ansa,0
331,comment deal shane lennon svp marketing product development gypsii say,0
333,group intend relocate warehouse office space loudeac saint marcel morvillar east country already operate hook manufacturing distribution unit,0
334,firm headquarter vantaa southern finland employee,0
336,honor recognize gartner specialist business process modeling analysis company many large software vendor world,1
337,westpac banking corp issue benchmark year frn deal euro,0
338,include company brand share datum category well distribution channel datum,0
339,new share subscribe stock option shareholder right commence date enter trade register,0
340,aapl price momentum weaken go close,-1
341,acquisition solteq expand solution offer microsoft dynamic business software product,1
342,company profit total ls,0
343,leed internationally recognize green building certification system develop u green building council,0
345,talktalk hire bae system investigate cyber attack,-1
346,look like booking one way ticket week near lose week lulu,0
347,ftse lead lower glaxosmithkline,-1
348,exercise price option base safran software solution license maintenance sale well result company,0
350,company say production volume far indicate circuit capable targeted output rate tonne per day million tonne year,0
351,jun boy genius report deliver newstex nokia nyse nok n huh,0
352,come decision base preliminary economic operational environmental finding karvinen say,0
353,new majority owner aspocomp thailand co ltd certain private person belong immediate circle aspocomp present joint venture partner saha pathana inter holding plc,0
354,mln euro mln base acquisition price pay cash rest subscription offering total new ixono share,0
355,establish srv group private finnish construction concern operation finland baltic country russia,0
356,business section also include ahlstrom sustainability report,0
357,lemiste city environment knowledge base economy provide work people total turnover company amount eek bn say lo p rnit chairman supervisory board lemiste city mainor,0
358,jacobs support storengy investment develop storage site since owner engineer,0
359,company early say consider different strategic option struggle low cost mobile operator include divestment holding,0
360,sainsbury asda tesco morrison cut petrol price oil fall,-1
361,barclay sell benchmark index unit bloomberg,1
363,finnish forestry company upm kymmene waste management company lassila tikanoja say jan plan produce ethanol energy commercial industrial waste,0
364,ism disclose financial result daily say,0
365,contract cover manufacture surface treatment installation steel structure,0
366,finnish metal industry solution supplier outotec oyj net profit rise mln euro mln first nine month mln euro mln period,1
367,deal know pay sek usd eur cash stock,0
368,first nine month company net profit rise eur eur corresponding period,1
369,aapl dma turn macd crossover half hair away weekly eod break likely,1
370,protalix million cash sale,0
371,bearish outside day tuesday significant day resistance still intact opinion sds,-1
372,right reserve,0
373,operate nokia support nokia netact network service management system,0
374,mr priit kasak balti metsamasina owner say rakvere base company wish increase valmet market share third couple year,1
375,shire see baxalta deal close expect new rule,1
376,sainsbury cfo roger replace home retail ceo walden,0
377,marathon percent stake plx say accord bloomberg,0
378,simmon elect dcuc chairman posmouth n h gordon simmon ceo service credit union elect chairman defense credit union council term,0
380,pharmaceutical market czech republic global research datum service publish recently market analysis pharmaceutical market czech republic,0
385,synergy pharma soar today positive phase result sgyp,1
386,operate profit rise eur mn eur mn corresponding period,1
388,vx vertex monthly low hi low lo long term uptrend intract far,1
389,financial detail disclose,0
390,include software development internet mobile telephone content communication value add software financial service security application system integration electronic ebrd inform,0
392,follow berkshire hathaway apple stock,0
393,total amount subscription price record fund invest non restrict equity,0
394,tsla th wave hour chart hammer candle develop close sma might good spot call,1
395,strong growth see new market russia czech republic slovakia,1
396,tower engineer create degree westward lean four time inclination lean tower pisa use diagrid structure align geometrically use tekla structure bim build information modeling software,0
397,amer buy salomon adidas october say job cut aim boost competitiveness,0
399,measure suominen corporation aim ensure competitiveness flexible packaging business long term,1
400,znga short get nervous,1
401,financial statement release available publish company internet page www cargotec com,0
402,world glass come egypt invite visitor around world attend glass world exhibition register www glassworldex com,0
404,raw material come europe us pay euro us dollar sale take place ruble,0
406,maximum new share far subscribe exercise b option stock option plan,0
407,inspect company strategic strength weakness,0
408,planned closing date provide,0
409,lemminkainen group headquarter helsinki finland operate sector construction industry civil engineering building contract technical building service building material industry,0
410,implementation deal subject approval finnish competition authority,0
411,microsoft also churn courtship agree use navteq mapping service offer company nokia buy billion year ago,1
412,geosolution team far provide intriguing new technology combine gps mobile base technology together internet base social networking,0
413,c expo signature show dongguan support dongguan municipal government every year feature computer accessory software communication network product,0
414,pharmaceutical poland brand new market analysis give clear overview actual situation future outlook pharmaceutical market poland,0
415,trading new share right dividend distribution fund start exchange helsinki tomorrow,0
416,dual fuel engine vessel operate liquefy natural gas lng low emission,0
417,among finnish share trade us stora enso close pct low eur upm kymmene pct eur metso pct eur,0
418,addition presentation hold president ceo kai telanne cfo tuomas itkonen participant opportunity discuss member company management,0
419,change holding accordance chapter section finnish security market act describe,0
420,capman partner able far develop business continue focus provide quality restaurant service customer say christopher wynne ceo papa john russia,1
421,crane would instal onboard two freighter order singaporean ship owner masterbulk,0
422,business divest generate consolidated net sale eur million annually currently employee,0
424,company eur bn asset count among five large shareholder finnish insurer ilmarinen varma well finnish state pension fund ver,0
426,iwm minute chart small cap threaten descend triangle breakdown,-1
427,corporate update c communications ltd finnish technology group teleste corporation omx helsinki tlt v report wednesday february operate profit eur net sale eur year,0
428,stockholm base nordea bank sto nda say yesterday hire casper von koskull lead corporate merchant banking capital market unit effective september,0
430,finnish fiber plastic product maker suominen corporation say net loss narrow mln euro mln first nine month mln euro mln period,1
431,companiesfresnillo share jump silver price break,1
432,bluewin security available monthly subscription,0
433,operate profit eur mn eur mn,1
434,finnish raisio diagnostic launch new dna base quick test ensure safety food,1
435,non recur cost cause talentum premedia business area restructuring amount mln euro mln include company financial result second quarter,0
436,finnish software developer basware oyj say november u subsidiary basware inc win order provide software contract lifecycle management unnamed u medical technology company,1
437,chain unite centre end,0
438,important thing keep bank exist customer,0
439,price stainless steel also rise europe,0
440,sweden gallerix accumulate sek denominate sale eur denominate sale,0
441,isrg isrg short,-1
442,dara break,1
443,total new citycon share nominal value eur per share subscribe april exercise b c option base company stock option plan,0
444,aapl I sure short hold breath hope miracle lol,1
445,management decide end increase cathode copper capacity,0
446,image datum produce browser phone server convert bitmappe image send handset display,0
447,shire say internal synergy goal baxalta deal high,1
448,one large project magazine division sanomawsoy sanoma magazine international become launch russian magazine gloriya,0
450,seller founder company,0
451,foodservice consumer good market serve approximately people manufacture unit several sale office country,0
452,acquisition frozen food fish sector long synergy l nnen tehtaat business,0
453,gnrc finding support day line far,1
454,transaction agreement metsaliitto purchase metsa botnia share upm real,0
455,britain ftse fall back ashtead commodity pressure,-1
457,bbry bye bye sammy hello bb sound like see green tomorrow,1
459,rockwell collins provider flight deck cabin information management solution business aircraft operator,0
460,floor area yliopistonrinne project sq building gross area total sq total facility let,0
461,nflx vision short term consolidation movement high,1
462,theodosopoulos say tellab could value nokia siemen nortel give lead supply status verizon along high growth product,1
463,current position manty work since,0
464,new production plant company would increase capacity meet expect increase demand would improve use raw material therefore increase production profitability,1
465,analyst view astrazeneca share see recent volatility,-1
467,transaction tikkurila powder coating relate operation company say,0
468,arm holdings plc domino pizza group plc asos plc must growth stock,0
469,pearl plaza llc joint venture srv shanghai industrial investment holdings co ltd conclude investment decision construction first phase shopping center saint petersburg russia,1
471,finnish financial group aktia report operate profit eur mn january september eur mn corresponding period,1
472,key price watch nflx previous double top reject,-1
474,city spirit sink diageo come short sale slide,-1
476,alexandria va june michael g williams newbury park calif develop network device,0
477,olvi post strong set figure first six month year,1
478,stanchart rbs struggle bank england stress test,-1
479,beginning year wartsila secure order deliver four gas fuel main engine propulsion machinery vessel,1
481,glaxosmithkline target growth across unit scrap viiv ipo,1
482,bhp billiton share price brazil sue samarco bn,-1
483,come complete lcd touch screen system selection choose function price start around pound mark,0
485,split company would series share series k share,0
486,le coq special develop bicentenary company trade mark brewer say,0
489,bridge part highway development project,0
490,kesko agro lietuva agricultural machinery grain trader another member kesko group boost sale percent million euro vat inclusive,1
492,metso foundry jyvaskyla oy discontinue production line september,0
493,sale price disclose,0
494,helsinki afx retail wholesale group kesko report net sale mln eur february increase pct year year,1
495,february new wording identity document act make mobile state approve electronic document february st enter force,0
497,alone,0
499,sale savcor face cencorp result profit loss yet determine owe factor include valuation consideration share receive prevail exchange rate,0
501,first application market invoice purchase requisition approval mobile device,0
502,helsinki eliiv today report eps eur increase eps eur,1
503,easyjet dismisse lufthansa low cost plan contest germany,-1
504,order receive grow year year eur,1
506,finnish broadband data communication system provider teleste oyj hel tlt v say yesterday return net profit eur million usd first nine month versus net loss eur period,1
507,adpnew dec norwegian financial service group sparebank gruppen osl sbgrp say board director appoint today jarle haug managing director claim collection subsidiary sparebank gruppen finan,0
508,finnish contract manufacturer electronics elcoteq hungary kft announce plan recruit new staffer fulfill new order p cs company two plant,1
510,nyrstar also agree supply talvivaara tonne sulphuric acid per annum use talvivaara leach process period supply zinc concentrate,1
513,since aapl master supply chain corner nand apple master everyone supply chain,1
514,poyry net sale amount eur million employ expert,0
515,adjustment concern staff specialty paper fiber composite segment,0
516,accord notification holding ameriprice inc group company total share represent tekla share voting right,0
517,break major support level watch aapl qqq,-1
518,royal mail chairman donald brydon set step,-1
519,also confirm earning guidance whole issue report whole,0
520,offering also cover localisation service relate production transfer finnish company customer already production asian market make decision transfer production,0
521,dbs julius baer emerge potential bidder barclay asia wealth unit,1
522,fair value investment property eur million,0
523,companiestravis perkin lift dividend earning rise,1
524,okmetic product base high tech expertise generate add value customer innovative product development extremely efficient production process,1
526,equipment designate bollore africa logistics terminal societe exploitation du terminal de vridi setv abidjan ivory coast delivery schedule start march,0
527,teleste hybrid tv solution include component whole process deliver video service consumer content acquisition service creation delivery range access solution include hfc hybrid fibre coaxial xdsl etth ftth,0
528,company net sale amount approximately eur employee,0
529,new novator product suppose export,0
530,elcoteq global network market service site long experience serve consumer electronic system solution customer,0
531,finnish component supplier componenta corporation omx helsinki cth v report tuesday july operate profit eur net sale eur financial period january june,0
532,save break downtrend line increase volume move could see upside,1
533,official opening office locate prague celebrate may,0
534,apple another attempt break apple weak pvt aapl,1
535,also turn earning per share eps eur versus loss per share eur,1
536,completion transaction subject final agreement due diligence process,0
537,morrison finance chief fill gap ceo leave early,-1
538,earning per share eps amount eur loss eur,1
539,tiimari operate store six country include core finnish market generate turnover mln eur,0
540,change announce today effective close trading friday june,0
541,accord chairman michael hornborg organization merely criticise raisio weak performance,0
542,bae system sale boost european typhoon currency,1
543,honkarakenne also decide yesterday sell b series share key staff member eur per share,0
544,raise consumer awareness encourage people recycle old mobile device nokia run regular recycling campaign around world,0
545,baltic merger business two expect complete early,0
546,tieto look energy solution would well support idea sustainable development happy able provide solution saysjouni haikarainen vice president fortum,1
548,stockmann plc company announcement february annual summary stockmann stock exchange financial press release available company website address www stockmann com,0
549,yes expectation deal somewhat price could see nice pop bid come high expect yhoo,1
550,aapl dip buy real quick high low fo sho,1
552,basware ceo ilkka sihvo comment conjunction interim report whole basware succeed well second quarter,1
553,nasdaq omx geo v gypsii business unit developer award win gypsii mobile social networking application today announce availability free download via samsung mobile application store,0
554,I try deal slavery different perspective balance story say deramus formerly writer detroit free press detroit news,0
556,alphabet inc upgrade buy googl,1
557,raisio division record operating profit,1
559,share capital alma medium corporation business eur divide share,0
560,forecast,0
561,hull vessel build one block time ruukki deliver plate material block construction progress,0
563,reason st petersburg status capital one participant meeting quote chikunov say,0
564,upon completion sale proha would get usd stake artemis,0
565,buffett berkshire build deere stake dump exxon,1
566,last year net sale rise eur million eur million,1
567,earning per share quarter also high year year eur versus market expectation eur,1
568,finnish talvivaara mining co hel tlv v say thursday pick bofa merrill lynch jpmorgan nyse jpm joint bookrunner plan issue convertible note worth eur usd,0
569,mxwl oh snap go long lt,1
571,panostaja headquarter tampere finland investment company focus small medium sized finnish company operate traditional industry,0
572,corresponding increase share capital total eur register finnish trade register may,0
573,capman plc press release march jukka ruuska president omx nordic exchange stockholm stock exchange transfer capman effective later september,0
576,know people,0
577,metal gain percent year demand china world large user increase,1
578,much well process use virgin paper require less transportation wood pulp place like finland canada,1
580,follow level I share nflx googl tsla call nice gain still hold fb call week make morning,1
581,company enhance gprs capability exist idea telecom service area add service area network,1
582,new arrangement customer responsibility become mainly regional,0
584,study evaluate safety tolerability pharmacokinetic repeat dose intravenously administer antibody patient active plaque psoriasis,0
585,follow registration number issue outstanding share basware,0
586,second quarter group pretax loss narrow eur eur,1
587,finland base company say move exist square foot facility september,0
588,company withdraw second part eur mn investment commitment,0
589,finnish printed circuit board pcbs maker aspocomp group oyj say december name henry gilchrist senior vice president group asian operation january,0
590,come short marchin gmcr lovin,-1
591,grapevine city official september approve million tax rebate grant expansion,1
592,sponda plan renovate old real estate develop new property,0
593,merisatama far corner world asfaltti osakeyhti lemmink inen establish group master builder helsinki specialist business subcontractor,0
594,austin texas sept texas department transportation award contract teleste video compression distribution equipment,1
595,transaction value cad million approximately eur million,0
596,extension new contract eight engine plant produce mw say,1
597,stora enso receive pct equity interest combine company,0
598,beef import fall slightly mn kilos,0
